,OTU_1,OTU_71,OTU_84,OTU_92,OTU_110,OTU_136,OTU_137,OTU_138,OTU_139,OTU_140,OTU_141,OTU_142,OTU_148,OTU_149,OTU_172,OTU_186,OTU_187,OTU_188,OTU_189,OTU_200,OTU_201,OTU_220,OTU_250,OTU_277,OTU_291,OTU_294,OTU_296,OTU_298,OTU_316,OTU_323,OTU_324,OTU_332,OTU_334,OTU_350,OTU_358,OTU_387,OTU_392,OTU_398,OTU_403,OTU_405,OTU_414,OTU_418,OTU_427,OTU_429,OTU_466
SRR062832,0.9487437185929648,0.0,0.0,0.0,0.007035175879396985,0.0,0.0,0.0,0.0,0.0016750418760469012,0.0,0.003685092127303183,0.0,0.00033500837520938025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006700167504187605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033500837520938025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRR062744,0.9852008456659621,0.005285412262156447,0.0,0.0,0.0,0.0,0.008985200845665961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005285412262156448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRR062895,0.021602787456445997,0.00034843205574912887,0.0,0.0,0.08536585365853659,0.0010452961672473868,0.0006968641114982577,0.0,0.00034843205574912887,0.00034843205574912887,0.0,0.02020905923344948,0.0,0.0,0.0,0.0,0.0,0.00034843205574912887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034843205574912887,0.012543554006968641,0.00034843205574912887,0.0010452961672473868,0.0,0.0,0.00034843205574912887,0.014982578397212544,0.0,0.0006968641114982577,0.0,0.0,0.0010452961672473868,0.0045296167247386755,0.0,0.0,0.0,0.0,0.0010452961672473868,0.0
SRR063046,0.9860234445446348,0.0018034265103697023,0.0,0.0,0.0004508566275924256,0.0,0.002254283137962128,0.0,0.0004508566275924256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009017132551848512,0.0,0.0009017132551848512,0.0004508566275924256,0.0,0.004057709648331831,0.0,0.0,0.0,0.0,0.0,0.0004508566275924256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRR062789,0.6532101167315175,0.0,0.0,0.0,0.0,0.0,0.0038910505836575885,0.0,0.0,0.0,0.0,0.00048638132295719845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3404669260700389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRR062812,0.8938730853391685,0.0,0.0,0.0,0.02489059080962801,0.0010940919037199122,0.002188183807439825,0.0,0.0010940919037199122,0.00027352297592997805,0.0,0.0008205689277899343,0.0010940919037199122,0.006564551422319475,0.0,0.0,0.0,0.01148796498905908,0.00027352297592997805,0.0005470459518599561,0.0,0.001914660831509847,0.0,0.0,0.00027352297592997805,0.015317286652078776,0.00027352297592997805,0.003829321663019694,0.007111597374179431,0.0005470459518599561,0.001914660831509847,0.0,0.0,0.0,0.0035557986870897156,0.0010940919037199122,0.0,0.0,0.00027352297592997805,0.006291028446389497,0.0008205689277899343,0.0,0.0030087527352297594,0.0,0.0
SRR062703,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRR063067,0.9370262390670554,0.015160349854227406,0.0,0.0,0.0,0.010495626822157435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005830903790087462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009329446064139942,0.0,0.0,0.0005830903790087462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRR063036,0.9974137931034482,0.0,0.0,0.0,0.0,0.0,0.0004310344827586207,0.0004310344827586207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012931034482758618,0.0,0.0,0.0,0.0004310344827586207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRR063019,0.0027502750275027505,0.0,0.0,0.0,0.993949394939494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRR062725,0.001098297638660077,0.0,0.0,0.0,0.9835255354200988,0.0005491488193300383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005491488193300383,0.0,0.0,0.0,0.0,0.005491488193300385,0.0,0.0,0.0,0.0,0.0,0.0,0.0005491488193300383,0.0,0.0,0.0,0.0,0.0005491488193300383,0.0,0.0,0.0,0.0
SRR062977,0.0,0.0,0.0,0.0,0.0,0.003851091142490373,0.0,0.0,0.002567394094993581,0.0,0.0,0.0012836970474967909,0.0,0.0,0.0006418485237483952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008344030808729141,0.0,0.0,0.0,0.0,0.0006418485237483952,0.0,0.386392811296534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRR063007,0.9906908378245958,0.006369426751592357,0.0,0.0,0.0,0.0,0.0,0.0004899559039686428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004899559039686428,0.0,0.0,0.0,0.0009799118079372856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRR062917,0.0004476275738585497,0.0,0.0,0.0004476275738585497,0.0013428827215756492,0.003133393017009848,0.004923903312444047,0.0,0.0022381378692927483,0.010743061772605192,0.0,0.0,0.0013428827215756492,0.0,0.0,0.01924798567591764,0.0004476275738585497,0.011638316920322292,0.0,0.0,0.0,0.0,0.0,0.0013428827215756492,0.0,0.0022381378692927483,0.004476275738585497,0.0,0.005371530886302597,0.0,0.0,0.0,0.8889883616830797,0.0008952551477170994,0.003133393017009848,0.0,0.0,0.0,0.0,0.0013428827215756492,0.0022381378692927483,0.0008952551477170994,0.004476275738585497,0.0008952551477170994,0.0
SRR062739,0.00966183574879227,0.0,0.0,0.0,0.0,0.0,0.0,0.004830917874396135,0.05314009661835749,0.0,0.0024154589371980675,0.0,0.11352657004830917,0.0024154589371980675,0.0,0.0,0.016908212560386472,0.2632850241545894,0.0024154589371980675,0.04830917874396135,0.036231884057971016,0.0,0.004830917874396135,0.0,0.012077294685990338,0.004830917874396135,0.05555555555555555,0.00966183574879227,0.0,0.0,0.007246376811594203,0.043478260869565216,0.0,0.14009661835748793,0.016908212560386472,0.0,0.0,0.0,0.07971014492753623,0.0,0.0,0.0,0.012077294685990338,0.01932367149758454,0.0
SRR062862,0.38050139275766015,0.0,0.0,0.0,0.5732590529247911,0.0,0.0,0.0,0.0,0.0,0.0,0.02172701949860724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01448467966573816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRR063012,0.9498261301539991,0.01490312965722802,0.0,0.0024838549428713363,0.0,0.0024838549428713363,0.0,0.0,0.0004967709885742673,0.0009935419771485343,0.0,0.0,0.0,0.0,0.0,0.0,0.0009935419771485343,0.007948335817188276,0.0,0.0,0.0,0.0,0.0,0.0014903129657228018,0.0,0.0034773969200198713,0.0009935419771485343,0.0004967709885742673,0.001987083954297069,0.0,0.001987083954297069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRR062791,0.0,0.01633045148895293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019212295869356388,0.0,0.0,0.0,0.0,0.0,0.0,0.968299711815562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048030739673390966,0.0
SRR062681,0.4645892351274787,0.0,0.0056657223796034,0.0,0.00141643059490085,0.0,0.0,0.031161473087818695,0.0084985835694051,0.0,0.00141643059490085,0.00141643059490085,0.031161473087818695,0.0,0.0,0.00141643059490085,0.1359773371104816,0.06232294617563739,0.0028328611898017,0.021246458923512748,0.0339943342776204,0.0,0.0028328611898017,0.00141643059490085,0.0113314447592068,0.0056657223796034,0.06940509915014165,0.0028328611898017,0.0028328611898017,0.0,0.0,0.0,0.019830028328611898,0.0,0.0028328611898017,0.0,0.0,0.00424929178470255,0.04390934844192634,0.0,0.0,0.0,0.0113314447592068,0.0070821529745042485,0.0084985835694051
SRR062801,0.7357310398749023,0.001954652071931196,0.0,0.0,0.25723221266614543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003909304143862392,0.0,0.0,0.0,0.004691164972634871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRR062975,0.9954166666666666,0.0033333333333333327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRR062878,0.3101207056638812,0.0018570102135561746,0.0,0.00046425255338904364,0.6439182915506035,0.0,0.01021355617455896,0.0,0.0,0.0,0.0,0.0009285051067780873,0.0,0.0,0.0,0.0,0.0,0.00046425255338904364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046425255338904364,0.0,0.0,0.0,0.003714020427112349,0.0,0.0,0.017177344475394613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046425255338904364,0.0,0.0013927576601671311,0.0009285051067780873,0.0
SRR062970,0.9119718309859156,0.00044014084507042255,0.0,0.0,0.0,0.0,0.003080985915492957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044014084507042255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044014084507042255,0.0,0.0,0.0,0.023327464788732398,0.0,0.0,0.0,0.0,0.0,0.00044014084507042255,0.0,0.0,0.0,0.0,0.0,0.0
SRR062971,0.0,0.0,0.0,0.0,0.0,0.0009017132551848512,0.0,0.0,0.0,0.0018034265103697023,0.0,0.0,0.0004508566275924256,0.0009017132551848512,0.001352569882777277,0.0,0.0,0.0036068530207394047,0.0,0.0,0.0,0.0,0.0,0.001352569882777277,0.0,0.0009017132551848512,0.002254283137962128,0.0,0.001352569882777277,0.0,0.0,0.0,0.9621280432822362,0.0004508566275924256,0.002254283137962128,0.0,0.001352569882777277,0.0,0.0,0.0,0.0004508566275924256,0.0,0.0,0.0,0.0
SRR063003,0.0,0.0,0.002272727272727273,0.0,0.0,0.0,0.0,0.005681818181818182,0.010227272727272729,0.0,0.01590909090909091,0.0,0.08181818181818183,0.0,0.060227272727272727,0.0,0.15,0.1215909090909091,0.0011363636363636365,0.002272727272727273,0.0,0.0,0.010227272727272729,0.0,0.053409090909090906,0.0,0.08409090909090909,0.21931818181818186,0.004545454545454545,0.0,0.0011363636363636365,0.0,0.0,0.0,0.017045454545454544,0.0011363636363636365,0.0,0.004545454545454545,0.08409090909090909,0.0,0.0,0.002272727272727273,0.0,0.0011363636363636365,0.06136363636363636
SRR062959,0.0,0.002474022761009401,0.0,0.0,0.9104403760514596,0.0,0.005937654626422564,0.0,0.0,0.0,0.0,0.05343889163780307,0.0,0.0,0.0004948045522018803,0.0,0.0,0.0004948045522018803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004948045522018803,0.0,0.0004948045522018803,0.001979218208807521,0.0,0.0,0.0,0.01979218208807521,0.0,0.0,0.0,0.0,0.0,0.0004948045522018803,0.0004948045522018803,0.0004948045522018803,0.0,0.0004948045522018803,0.0,0.0
SRR062740,0.8249354005167958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16537467700258401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRR062888,0.8780848963474828,0.0009871668311944716,0.0,0.0,0.0,0.0004935834155972358,0.0,0.0,0.006416584402764067,0.0,0.0,0.0,0.002961500493583416,0.0,0.0,0.0,0.0,0.03553800592300098,0.0,0.0014807502467917078,0.04343534057255676,0.0,0.0,0.0,0.0,0.0246791707798618,0.0004935834155972358,0.0014807502467917078,0.0004935834155972358,0.0,0.0004935834155972358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004935834155972358,0.0
SRR063062,0.9205816554809844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055369127516778534,0.0,0.0,0.0,0.0,0.0,0.0005592841163310962,0.0,0.0,0.0,0.0,0.0,0.0016778523489932886,0.0,0.0,0.0044742729306487695,0.0016778523489932886,0.0039149888143176735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016778523489932886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRR062909,0.7809110629067245,0.0027114967462039045,0.0,0.0,0.15238611713665945,0.0,0.0,0.0,0.0,0.0,0.0,0.0005422993492407808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016268980477223427,0.0,0.0,0.0037960954446854657,0.0,0.0,0.0,0.0,0.0005422993492407808,0.0021691973969631237,0.0,0.0,0.0,0.0,0.0,0.0
SRR062835,0.8965892597968069,0.004354136429608128,0.0,0.0,0.05224963715529753,0.0,0.0047169811320754715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001088534107402032,0.0,0.0,0.03737300435413643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRR062945,0.0,0.0,0.0,0.0,0.0003858024691358025,0.20640432098765432,0.0,0.0,0.03510802469135803,0.0015432098765432098,0.0007716049382716049,0.0,0.0046296296296296285,0.0003858024691358025,0.030092592592592587,0.0,0.0,0.3167438271604938,0.0,0.0,0.0,0.0,0.0,0.0,0.001929012345679012,0.001929012345679012,0.0023148148148148147,0.003858024691358025,0.01929012345679012,0.0,0.13773148148148148,0.0,0.0,0.0,0.030478395061728395,0.0,0.0003858024691358025,0.0003858024691358025,0.04166666666666666,0.0,0.12770061728395066,0.012731481481481479,0.0,0.0007716049382716049,0.0
SRR062838,0.6026541764246682,0.0,0.0,0.00039032006245121,0.3871975019516003,0.0,0.00273224043715847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00351288056206089,0.0,0.0,0.00039032006245121,0.0,0.0,0.0,0.0,0.0,0.00078064012490242,0.0,0.0,0.0,0.0,0.0,0.0
SRR062935,0.4825828377230246,0.004248088360237893,0.0,0.0,0.0,0.0,0.0,0.006372132540356839,0.00594732370433305,0.0,0.0,0.0004248088360237893,0.0,0.09728122344944774,0.0,0.0,0.0,0.0021240441801189465,0.0,0.0,0.0016992353440951572,0.0,0.0,0.0,0.0,0.2489379779099405,0.0,0.0,0.0,0.0,0.0,0.0004248088360237893,0.0008496176720475786,0.0,0.0,0.0,0.0,0.0,0.02081563296516568,0.0,0.0,0.0,0.0,0.0038232795242141037,0.0
SRR063038,0.999591670069416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004083299305839118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRR062714,0.5723622782446312,0.0009337068160597573,0.0018674136321195146,0.0,0.0,0.0,0.0,0.1111111111111111,0.006535947712418301,0.0,0.003734827264239029,0.0,0.0,0.0,0.0056022408963585435,0.006535947712418301,0.0,0.012138188608776844,0.017740429505135387,0.0,0.0056022408963585435,0.0,0.0,0.0,0.0,0.04948646125116713,0.011204481792717087,0.0,0.004668534080298786,0.0028011204481792717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1465919701213819,0.0,0.0,0.0,0.0028011204481792717,0.009337068160597572,0.028011204481792718
