mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf,param_clf__max_depth,param_scl,param_clf__n_estimators,param_clf__learning_rate,param_clf__min_child_weight,param_clf__n_neighbors,param_clf__C,param_clf__loss,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.31657872200012205,0.05240503794457229,0.0011677265167236329,0.0005280655255114733,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=None,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=0, splitter='best')",4,NonScaler(),,,,,,,"{'clf': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=None,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=0, splitter='best'), 'clf__max_depth': 4, 'scl': NonScaler()}",0.3974358974358974,0.4166666666666667,0.38461538461538464,0.4166666666666667,0.4375,0.41057692307692306,0.018142271407801162,214,0.4673202614379085,0.45098039215686275,0.4526143790849673,0.46078431372549017,0.4230769230769231,0.4509552538964304,0.015128638713123789
0.09861464500427246,0.12111193178199624,0.0020667076110839843,0.0014174249380282463,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=None,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=0, splitter='best')",8,NonScaler(),,,,,,,"{'clf': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=None,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=0, splitter='best'), 'clf__max_depth': 8, 'scl': NonScaler()}",0.6153846153846154,0.6923076923076923,0.6217948717948718,0.7115384615384616,0.7291666666666666,0.6740384615384615,0.046794871794871774,151,0.8300653594771242,0.8545751633986928,0.815359477124183,0.803921568627451,0.8125,0.8232843137254902,0.017771438941040035
0.033646583557128906,0.004652757511447334,0.0065917491912841795,0.0048206077328286035,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=None,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=0, splitter='best')",16,NonScaler(),,,,,,,"{'clf': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=None,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=0, splitter='best'), 'clf__max_depth': 16, 'scl': NonScaler()}",0.6730769230769231,0.7051282051282052,0.7692307692307693,0.8076923076923077,0.8263888888888888,0.7563034188034188,0.05876301471678181,80,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.03981094360351563,0.005198736293322617,0.0024892807006835936,0.0028349546319637116,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=None,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=0, splitter='best')",32,NonScaler(),,,,,,,"{'clf': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=None,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=0, splitter='best'), 'clf__max_depth': 32, 'scl': NonScaler()}",0.6730769230769231,0.7051282051282052,0.7692307692307693,0.8076923076923077,0.8263888888888888,0.7563034188034188,0.05876301471678181,80,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.03530154228210449,0.0065873173394507545,0.0034726619720458984,0.004793987715771161,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=None,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=0, splitter='best')",64,NonScaler(),,,,,,,"{'clf': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=None,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=0, splitter='best'), 'clf__max_depth': 64, 'scl': NonScaler()}",0.6730769230769231,0.7051282051282052,0.7692307692307693,0.8076923076923077,0.8263888888888888,0.7563034188034188,0.05876301471678181,80,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.09789867401123047,0.0216242736653766,0.0020313262939453125,0.0002176470439357698,"BaggingClassifier(base_estimator=None, bootstrap=True, bootstrap_features=False,
                  max_features=1.0, max_samples=1.0, n_estimators=10,
                  n_jobs=None, oob_score=False, random_state=0, verbose=0,
                  warm_start=False)",,NonScaler(),5,,,,,,"{'clf': BaggingClassifier(base_estimator=None, bootstrap=True, bootstrap_features=False,
                  max_features=1.0, max_samples=1.0, n_estimators=10,
                  n_jobs=None, oob_score=False, random_state=0, verbose=0,
                  warm_start=False), 'clf__n_estimators': 5, 'scl': NonScaler()}",0.7692307692307693,0.7948717948717948,0.7948717948717948,0.8205128205128205,0.7986111111111112,0.7956196581196582,0.016285640181445474,62,0.988562091503268,0.9934640522875817,0.9836601307189542,0.9722222222222222,0.9871794871794872,0.9850175967823027,0.0071294340275360685
0.13909034729003905,0.030182332651958,0.00890035629272461,0.007384296985585109,"BaggingClassifier(base_estimator=None, bootstrap=True, bootstrap_features=False,
                  max_features=1.0, max_samples=1.0, n_estimators=10,
                  n_jobs=None, oob_score=False, random_state=0, verbose=0,
                  warm_start=False)",,NonScaler(),10,,,,,,"{'clf': BaggingClassifier(base_estimator=None, bootstrap=True, bootstrap_features=False,
                  max_features=1.0, max_samples=1.0, n_estimators=10,
                  n_jobs=None, oob_score=False, random_state=0, verbose=0,
                  warm_start=False), 'clf__n_estimators': 10, 'scl': NonScaler()}",0.8012820512820513,0.8333333333333334,0.8333333333333334,0.8653846153846154,0.8680555555555556,0.8402777777777779,0.02457264957264957,40,0.9983660130718954,0.9983660130718954,0.9967320261437909,0.9983660130718954,0.9967948717948718,0.9977249874308697,0.000785344361579349
0.17943472862243653,0.0048166255764365805,0.008295202255249023,0.006577899445463732,"BaggingClassifier(base_estimator=None, bootstrap=True, bootstrap_features=False,
                  max_features=1.0, max_samples=1.0, n_estimators=10,
                  n_jobs=None, oob_score=False, random_state=0, verbose=0,
                  warm_start=False)",,NonScaler(),15,,,,,,"{'clf': BaggingClassifier(base_estimator=None, bootstrap=True, bootstrap_features=False,
                  max_features=1.0, max_samples=1.0, n_estimators=10,
                  n_jobs=None, oob_score=False, random_state=0, verbose=0,
                  warm_start=False), 'clf__n_estimators': 15, 'scl': NonScaler()}",0.8141025641025641,0.8525641025641025,0.8397435897435898,0.9102564102564102,0.8888888888888888,0.861111111111111,0.03442757959166295,28,1.0,0.9983660130718954,1.0,0.9983660130718954,1.0,0.9993464052287582,0.0008004868440467874
0.2364375114440918,0.006488298080862727,0.01168212890625,0.00412061398077748,"BaggingClassifier(base_estimator=None, bootstrap=True, bootstrap_features=False,
                  max_features=1.0, max_samples=1.0, n_estimators=10,
                  n_jobs=None, oob_score=False, random_state=0, verbose=0,
                  warm_start=False)",,NonScaler(),20,,,,,,"{'clf': BaggingClassifier(base_estimator=None, bootstrap=True, bootstrap_features=False,
                  max_features=1.0, max_samples=1.0, n_estimators=10,
                  n_jobs=None, oob_score=False, random_state=0, verbose=0,
                  warm_start=False), 'clf__n_estimators': 20, 'scl': NonScaler()}",0.7948717948717948,0.8717948717948718,0.8333333333333334,0.8910256410256411,0.9236111111111112,0.8629273504273505,0.044850931250554144,25,1.0,0.9983660130718954,1.0,1.0,1.0,0.9996732026143791,0.0006535947712418276
0.3116914749145508,0.022934339151904848,0.007454204559326172,0.0035989727767458827,"BaggingClassifier(base_estimator=None, bootstrap=True, bootstrap_features=False,
                  max_features=1.0, max_samples=1.0, n_estimators=10,
                  n_jobs=None, oob_score=False, random_state=0, verbose=0,
                  warm_start=False)",,NonScaler(),25,,,,,,"{'clf': BaggingClassifier(base_estimator=None, bootstrap=True, bootstrap_features=False,
                  max_features=1.0, max_samples=1.0, n_estimators=10,
                  n_jobs=None, oob_score=False, random_state=0, verbose=0,
                  warm_start=False), 'clf__n_estimators': 25, 'scl': NonScaler()}",0.7884615384615384,0.8589743589743589,0.8525641025641025,0.8910256410256411,0.9236111111111112,0.8629273504273505,0.045033793854615756,25,1.0,0.9983660130718954,1.0,1.0,1.0,0.9996732026143791,0.0006535947712418276
