,308,247,316,9,160,96,299,281,7,256,26,31,17,259,179,184,151,295,55,158,220,305,21,277,134,54,286,79,214,307,159,99,60,203,23,56,133,182,4,318,183,314,227,194,289,69,229,221,149,226
0,38,0,0,8,0,0,1,0,0,49,0,0,0,0,320,0,6186,0,0,0,55,0,0,0,0,1,6,0,0,0,0,0,0,0,0,13,0,21,0,0,0,66,0,2,0,0,7,0,0,0
1,7,0,0,94,0,0,3,1,0,623,0,1,0,0,2958,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,3,0,0,0
2,3,0,0,28,0,0,0,0,0,24,0,0,0,0,4843,0,1,0,0,0,964,0,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,124,0,0,0,2,0,0,0,0,0,0,0,0
3,12,0,0,0,0,0,6,0,0,4119,0,0,0,0,25,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,6,0,0,0
4,30,1,0,0,7,7,2,0,0,483,11,0,0,14,907,0,2,59,1,0,2112,12,0,0,97,2,0,1,0,0,0,32,0,0,0,2,18,0,0,0,42,17,1,0,77,0,8,0,0,0
5,33,0,0,19,0,0,0,0,0,358,0,0,0,0,271,0,0,0,0,0,464,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,4,0,0,0,930,0,0,0,0,0,0,0,0
6,3,0,0,47,0,0,0,0,0,170,0,0,0,0,223,0,0,0,0,0,191,0,0,0,0,1,43,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,43,0
7,286,0,0,260,0,0,23,0,0,54,0,1,1,0,494,0,0,0,1,0,582,0,15,2,0,0,295,29,0,0,4,0,0,0,0,10,0,528,0,0,0,21,0,0,0,0,5,0,0,0
8,10,0,0,3,0,0,0,0,0,1261,0,0,0,0,2793,0,4,0,0,0,626,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0
9,0,0,0,0,0,0,0,0,0,52,0,0,0,0,114,0,0,0,0,0,439,0,0,0,0,3,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,156,0,0,8,0,1,0
10,1,0,0,276,0,0,2,0,0,3120,0,0,0,0,322,0,0,0,0,0,807,0,0,0,0,0,31,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,5,0,0,0,0,0,0,0,0,276,0,0,0,0,72,0,2,0,0,0,143,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7,0,1,0,0,2,0,0,0
12,4,0,0,3,0,0,3,0,0,476,0,0,0,0,622,0,0,0,0,0,4577,1,0,0,0,3,2,0,0,12,0,0,0,0,0,0,0,3,0,0,0,2,0,8,0,0,5,0,17,0
13,0,0,0,17,0,0,0,1,0,144,0,0,0,0,422,0,1,0,0,0,195,0,0,0,0,1,42,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0
