#SampleID,label
Esophageal Adenocarcinoma,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.1,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.2,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.3,Esophageal Adenocarcinoma
Barrett's Esophagus,Barrett's Esophagus
Barrett's Esophagus.1,Barrett's Esophagus
Barrett's Esophagus.2,Barrett's Esophagus
Barrett's Esophagus.3,Barrett's Esophagus
Barrett's Esophagus.4,Barrett's Esophagus
Barrett's Esophagus.5,Barrett's Esophagus
Barrett's Esophagus.6,Barrett's Esophagus
Barrett's Esophagus.7,Barrett's Esophagus
Reflux Esophagitis,Reflux Esophagitis
Reflux Esophagitis.1,Reflux Esophagitis
Reflux Esophagitis.2,Reflux Esophagitis
Reflux Esophagitis.3,Reflux Esophagitis
Barrett's Esophagus.8,Barrett's Esophagus
Barrett's Esophagus.9,Barrett's Esophagus
Barrett's Esophagus.10,Barrett's Esophagus
Barrett's Esophagus.11,Barrett's Esophagus
Barrett's Esophagus.12,Barrett's Esophagus
Barrett's Esophagus.13,Barrett's Esophagus
Barrett's Esophagus.14,Barrett's Esophagus
Barrett's Esophagus.15,Barrett's Esophagus
Reflux Esophagitis.4,Reflux Esophagitis
Reflux Esophagitis.5,Reflux Esophagitis
Reflux Esophagitis.6,Reflux Esophagitis
Reflux Esophagitis.7,Reflux Esophagitis
Reflux Esophagitis.8,Reflux Esophagitis
Reflux Esophagitis.9,Reflux Esophagitis
Reflux Esophagitis.10,Reflux Esophagitis
Reflux Esophagitis.11,Reflux Esophagitis
Normal,Normal
Normal.1,Normal
Normal.2,Normal
Normal.3,Normal
Esophageal Adenocarcinoma.4,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.5,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.6,Esophageal Adenocarcinoma
Esophageal Adenocarcinoma.7,Esophageal Adenocarcinoma
Barrett's Esophagus.16,Barrett's Esophagus
Barrett's Esophagus.17,Barrett's Esophagus
Barrett's Esophagus.18,Barrett's Esophagus
Barrett's Esophagus.19,Barrett's Esophagus
Normal.4,Normal
Normal.5,Normal
Normal.6,Normal
Normal.7,Normal
Reflux Esophagitis.12,Reflux Esophagitis
Reflux Esophagitis.13,Reflux Esophagitis
Reflux Esophagitis.14,Reflux Esophagitis
Reflux Esophagitis.15,Reflux Esophagitis
Barrett's Esophagus.20,Barrett's Esophagus
Barrett's Esophagus.21,Barrett's Esophagus
Barrett's Esophagus.22,Barrett's Esophagus
Barrett's Esophagus.23,Barrett's Esophagus
Barrett's Esophagus.24,Barrett's Esophagus
Barrett's Esophagus.25,Barrett's Esophagus
Barrett's Esophagus.26,Barrett's Esophagus
Barrett's Esophagus.27,Barrett's Esophagus
Barrett's Esophagus.28,Barrett's Esophagus
Barrett's Esophagus.29,Barrett's Esophagus
Barrett's Esophagus.30,Barrett's Esophagus
Barrett's Esophagus.31,Barrett's Esophagus
Normal.8,Normal
Normal.9,Normal
Normal.10,Normal
