,OTU_1,OTU_499,OTU_4427,OTU_7494,OTU_6028,OTU_1526,OTU_6777,OTU_1906,OTU_5948,OTU_8405,OTU_202,OTU_6187,OTU_1733,OTU_3719,OTU_6395,OTU_4515,OTU_2979,OTU_1216,OTU_3520,OTU_2472,OTU_1264,OTU_6235,OTU_1494,OTU_16,OTU_2081,OTU_1714,OTU_5614,OTU_4123,OTU_5497,OTU_7036,OTU_6391,OTU_6033,OTU_2974,OTU_1732,OTU_5735,OTU_7793,OTU_4763,OTU_3111,OTU_2550,OTU_1167,OTU_253,OTU_4888,OTU_2311,OTU_2446,OTU_6029,OTU_4168,OTU_5034,OTU_7403,OTU_2912,OTU_2321
HD.65,0.015723922692594268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.856973071314619e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1427892285258476e-06,0.0,0.0,8.570919213943857e-07,0.0,0.0,0.0,0.0,0.0,2.856973071314619e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.856973071314619e-07,0.0,8.856616521075321e-06,0.0,0.0,0.0,0.0,0.0,2.856973071314619e-07,0.0,0.0
LD.88,0.004749174258259201,0.0,1.7834594833674568e-07,0.0,1.7834594833674568e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5669189667349135e-07,1.7834594833674568e-07,0.0,0.0,0.0,0.0,0.0,4.458648708418641e-07,1.7834594833674568e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.35037845010237e-07,0.0,0.0,0.0,0.0,0.0,1.7834594833674568e-07,0.0,0.0,0.0,1.7834594833674568e-07,0.0,0.0,0.0,0.0,0.0,1.783459483367457e-06,0.0
HD.80,0.0026173816112633245,0.0,0.0,0.0,0.0,0.0,0.0,2.288921391572649e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.722303478931622e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1444606957863249e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LD.86,0.010934657907069628,0.0,0.0,0.0,4.1217753805532157e-07,0.0,0.0,0.0,0.0,0.0,9.109123591022607e-05,0.0,0.0,0.0,0.0,0.0,4.1217753805532157e-07,0.0,9.067905837217076e-06,0.0,0.0,0.0,6.182663070829826e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1217753805532157e-07,0.0,0.0,0.0,0.0,8.243550761106431e-07,0.0,0.0,0.0,0.0,0.0,8.243550761106431e-07,0.0,0.0,0.0,0.0,4.1217753805532157e-07,0.0
LD.51,0.0014177608692558027,0.0,0.0,0.0,2.0930993862195358e-07,0.0,1.0465496931097679e-07,0.0,0.0,0.0,0.0,2.9355718891728992e-05,0.0,0.0,0.0,5.232748465548839e-07,0.0,0.0,0.0,1.0465496931097679e-07,0.0,0.0,0.0,8.895672391433027e-07,0.0,0.0,0.0,2.0930993862195358e-07,0.0,0.0,0.0,1.3605146010426986e-06,0.0,1.0465496931097679e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002655096571419481,0.0,4.1861987724390716e-07,0.0,0.0,0.0
HD.60,0.05646625832796045,1.033245714096778e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.066491428193556e-07,0.0,0.0,0.0,0.0,0.0,2.066491428193556e-07,0.0,2.0664914281935558e-06,0.0,1.2398948569161334e-06,0.0,0.0,6.199474284580667e-07,0.0,0.0,6.199474284580667e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.066491428193556e-07,4.132982856387112e-07,0.0,0.0,0.0,0.0,4.132982856387112e-07,0.0,2.2731405710129115e-06,0.0,0.0,0.0,2.066491428193556e-07,0.0,0.0
LD.37,0.006403257109544712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.214378753700905e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1715030029607246e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0428757507401811e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.0857515014803623e-06,0.0
LD.68,0.03909848191762045,0.0,0.0,0.0,0.0,0.0,1.4489666694197034e-07,0.0,1.4489666694197034e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4489666694197034e-07,5.795866677678814e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3469000082591105e-07,0.0,0.0,0.0,4.3469000082591105e-07,0.0,4.3469000082591105e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4489666694197034e-07,0.0
HD.10,0.006000391510200831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.271855172192601e-05,0.0,0.0,0.0,0.0,0.0,1.1059610192979138e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002654306446314993,2.654306446314993e-05,0.0,0.0,0.0,0.0,0.0,0.0
HD.68,0.0015636285435464126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.283913817935377e-07,0.0,0.0,4.283913817935377e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.567827635870753e-07,0.0,0.0,0.0,8.567827635870753e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.567827635870753e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD.51,0.019883340293400508,4.345515406373046e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.345515406373046e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.345515406373046e-07,0.0,0.0,0.0,0.0,0.0,4.345515406373046e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7382061625492183e-06,0.0,0.0,0.0,4.345515406373046e-07,0.0,0.0
LD.5,0.05475111349369936,0.0,0.0,0.0,0.0,0.0,3.1852784076665824e-07,0.0,0.0,0.0,0.0,6.370556815333165e-07,0.0,0.0,0.0,0.0,0.0,0.0,6.052028974566508e-06,0.0,0.0,3.1852784076665824e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1852784076665824e-07,0.0,0.0,3.1852784076665824e-07,3.185278407666583e-06,0.0,0.0,0.0,0.0,3.1852784076665824e-07,0.0,0.0,0.0
LD.34,0.004144432347182458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9869782682396094e-06,0.0,0.0,0.0,0.0,1.4934891341198047e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.467445670599024e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9869782682396094e-06,0.0,0.0,1.4934891341198047e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9869782682396094e-06,0.0
LD.72,0.002109481141021553,0.0,0.0,0.0,2.0671054787080385e-06,0.0,0.0,0.0,0.0,0.0,0.0,5.167763696770096e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.718092805801126e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.167763696770096e-07,0.0,0.0,1.0335527393540192e-06,0.0,0.0,0.0,0.0,0.0
