#SampleID,OTU_1,OTU_387,OTU_370,OTU_43,OTU_320,OTU_74,OTU_383,OTU_195,OTU_181,OTU_141,OTU_283,OTU_183,OTU_323,OTU_367,OTU_37,OTU_351,OTU_182,OTU_366,OTU_91,OTU_345,OTU_350,OTU_349,OTU_337,OTU_265,OTU_191,OTU_136,OTU_62,OTU_94,OTU_150,OTU_359,OTU_14,OTU_388,OTU_30,OTU_175,OTU_72,OTU_166,OTU_369,OTU_103,OTU_341,OTU_50,OTU_53,OTU_384,OTU_163,OTU_122,OTU_169,OTU_8,OTU_373,OTU_338,OTU_357,OTU_227
026-1,0.07317546583850931,0.0,9.704968944099377e-05,0.0,0.0,0.0,0.0,0.0,9.704968944099377e-05,9.704968944099377e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016498447204968945,0.0,9.704968944099377e-05,0.0,0.0,0.0,0.0,0.0,9.704968944099377e-05,0.0,0.0,9.704968944099377e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.704968944099377e-05,0.0,0.0,0.0,0.0,0.0002911490683229814,0.00281444099378882,0.0,0.0,0.0,0.017760093167701864,0.0,0.0,0.0,0.03183229813664596
024-1,0.02651696129957,0.0,0.000716674629718108,0.002508361204013378,0.0,0.0,0.0,0.0,0.0,0.0,0.0002388915432393693,0.0,0.000716674629718108,0.0002388915432393693,0.0,0.0,0.0,0.0,0.0,0.0,0.0005972288580984234,0.0,0.0,0.0002388915432393693,0.0002388915432393693,0.0,0.0,0.0,0.000358337314859054,0.0,0.0,0.0,0.0,0.0,0.0,0.0002388915432393693,0.0,0.0,0.0,0.000358337314859054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
021-1,0.0014064697609001409,0.0,0.0,0.0,0.00012786088735455825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016621915356092572,0.0,0.0,0.0,0.0,0.00012786088735455825,0.0,0.0003835826620636747,0.0,0.0,0.0,0.0,0.0,0.0,0.005114435494182329,0.0,0.0,0.0,0.0,0.0,0.0,0.00012786088735455825,0.0,0.0,0.0,0.0008950262114819078,0.0,0.0,0.0,0.0002557217747091165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
007-1,0.0,0.0,0.0,0.006159531875577456,0.0,0.0,0.0,0.0,0.0,0.034801355097012626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009085309516476748,0.0,0.0,0.0,0.0,0.0,0.0,0.0001539882968894364,0.0,0.0,0.0,0.0,0.0038497074222359103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013858946720049275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001539882968894364
011-1,0.0006624710168930111,0.0,0.0016561775422325273,0.0,0.0,0.0,0.0,0.0,0.00364359059291156,0.0,0.00033123550844650553,0.0,0.0,0.01457436237164624,0.0,0.0,0.0,0.001987413050679033,0.0,0.0,0.0,0.0,0.0,0.0,0.0026498840675720442,0.00033123550844650553,0.0,0.0,0.0,0.0,0.00033123550844650553,0.0,0.0,0.0,0.0,0.004306061609804571,0.0,0.0,0.0,0.0,0.009274594236502155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006955945677376615
014-1,0.0,7.849909726038149e-05,0.0,0.0,0.0,0.0,0.0,7.849909726038149e-05,0.0,0.0,0.0,0.00023549729178114448,0.0,0.0,0.0,0.0,7.849909726038149e-05,0.0,0.0,0.00015699819452076299,0.0,0.0,0.0,7.849909726038149e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001726980139728393,0.0,0.0007064918753434335,0.0,0.0,0.0,0.0,0.0,0.02339273098359369,0.0007064918753434335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021979747232906822,0.0012559855561661039
023-1,0.002332701559994168,0.0,0.0,0.0,0.0,0.0,0.000583175389998542,0.0,0.0,0.0,0.0,0.0,0.004082227729989793,0.0,0.0017495261699956262,0.0,0.0,0.0,0.0,0.0,0.0001457938474996355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001457938474996355,0.0,0.0,0.0,0.0,0.0001457938474996355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001457938474996355,0.0010205569324974486,0.0,0.0
035-1,0.04413576789514954,0.0001120197154699227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002800492886748068,0.0,0.0,0.0,0.0010081774392293043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001120197154699227,0.0,0.0,0.0002240394309398454,0.01120197154699227,0.0,0.0,0.0,0.0001120197154699227,0.0,0.0,0.0,0.0,0.0002240394309398454,0.0,0.00033605914640976814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004480788618796908,0.0
034-1,0.006628103157387322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012051096649795132,0.001928175463967221,0.0,0.00012051096649795132,0.0,0.0,0.0,0.0,0.0,0.0,0.00024102193299590263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003615328994938539,0.00012051096649795132,0.0,0.0,0.0,0.0,0.0,0.0,0.003494818028440588,0.0,0.0,0.0,0.00012051096649795132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
030-1,0.005907041815638115,0.0,0.0,0.0,0.0,0.0,0.0,0.000310896937665164,0.0,0.0,0.0,0.0,0.000155448468832582,0.0,0.000155448468832582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005907041815638115,0.0,0.0,0.0,0.000155448468832582,0.000155448468832582,0.0,0.0,0.0,0.0,0.0,0.0,0.006062490284470697,0.0,0.0,0.000155448468832582,0.0,0.0,0.0,0.0,0.0,0.003264417845484222,0.0,0.0,0.0,0.00077724234416291,0.0,0.0
027-1,0.0013205055649877385,0.0,0.0,0.0,0.0,0.0,0.0,0.00018864365214110544,0.0,0.0003772873042822109,0.0,0.0,0.006413884172797585,0.0,0.0,0.0,0.007168458781362006,0.0,0.0,0.0,0.0,0.0,0.0,0.00018864365214110544,0.0,0.00018864365214110544,0.0,0.0,0.0,0.0,0.00018864365214110544,0.0,0.0,0.0007545746085644218,0.0,0.0,0.0,0.0,0.0,0.0,0.0009432182607055274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007545746085644219,0.0
028-1,0.005531469576917327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014949917775452235,0.002242487666317835,0.0,0.0,0.0,0.0,0.0,0.0,0.00014949917775452235,0.0,0.0,0.0,0.0,0.0,0.00014949917775452235,0.0,0.0,0.0002989983555090447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014949917775452235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014949917775452235,0.0,0.00254148602182688,0.0
029-1,0.0029166666666666672,0.0,0.0,0.0,0.0,0.0,0.0,0.0006944444444444446,0.0,0.0,0.0,0.0,0.0022222222222222227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027777777777777783,0.012638888888888887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006944444444444446,0.0,0.0,0.0,0.0005555555555555557,0.0,0.0,0.0013888888888888892,0.0,0.0,0.0,0.0,0.0,0.0022222222222222227,0.0,0.0
033-1,0.0015529959880936975,0.0,0.0,0.0,0.0,0.0,0.00012941633234114146,0.0,0.0,0.0,0.0,0.0,0.0009059143263879903,0.0,0.0,0.0,0.0,0.0,0.0003882489970234244,0.0,0.0,0.0,0.0,0.00012941633234114146,0.0,0.0,0.004141322634916528,0.0,0.0,0.0,0.0,0.0005176653293645658,0.0,0.0,0.0,0.0,0.00012941633234114146,0.0,0.0,0.0,0.0,0.0,0.00012941633234114146,0.0,0.0,0.00012941633234114146,0.0002588326646822829,0.0,0.01527112721625469,0.0
044-1,0.001492955118036764,0.0,0.0,0.0,9.330969487729775e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006531678641410843,0.0,0.0,0.0001866193897545955,0.0,0.0,0.0,9.330969487729775e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001866193897545955,0.0,0.0,9.330969487729775e-05,0.0,0.0,0.0,0.0002799290846318933,0.0,0.0,0.0,0.002426052066809741,0.0,0.0,0.0,9.330969487729775e-05,0.0,0.0,0.0,0.0,0.0
043-1,0.028254580520732882,0.0,0.0,0.0,0.0,0.0003857280617164899,0.0,0.0,0.0,0.0,0.0,0.0,0.003664416586306653,0.0,0.0,0.0,0.0,0.0,9.643201542912249e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.643201542912249e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00019286403085824492,0.0,0.0,9.643201542912249e-05,0.0,0.0,0.0,0.0,0.0,0.0003857280617164899,0.0,9.643201542912249e-05,0.0,0.0,0.0,9.643201542912249e-05
040-1,0.06110877782444351,0.0,0.0,0.0,0.0,0.003149937001259975,0.0,0.0,0.0,0.0,0.0,0.0,0.0066148677026459475,0.0,0.0,0.00020999580008399836,0.0,0.0,0.0,0.0,0.0,0.00020999580008399836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010499790004199915,0.0008399832003359932,0.0,0.0,0.0,0.0,0.0005249895002099958,0.0,0.0,0.0,0.0,0.0,0.0
