#SampleID,label
Skin,Skin
Skin.1,Skin
External Auditory Canal,External Auditory Canal
External Auditory Canal.1,External Auditory Canal
Feces,Feces
Feces.1,Feces
Skin.2,Skin
Skin.3,Skin
Skin.4,Skin
Skin.5,Skin
Skin.6,Skin
Hair,Hair
Skin.7,Skin
Skin.8,Skin
Skin.9,Skin
Skin.10,Skin
Skin.11,Skin
Oral Cavity,Oral Cavity
Skin.12,Skin
Skin.13,Skin
Nostril,Nostril
Nostril.1,Nostril
Skin.14,Skin
Skin.15,Skin
Skin.16,Skin
Skin.17,Skin
Oral Cavity.1,Oral Cavity
Skin.18,Skin
Skin.19,Skin
External Auditory Canal.2,External Auditory Canal
External Auditory Canal.3,External Auditory Canal
Feces.2,Feces
Feces.3,Feces
Skin.20,Skin
Skin.21,Skin
Skin.22,Skin
Skin.23,Skin
Skin.24,Skin
Hair.1,Hair
Skin.25,Skin
Skin.26,Skin
Skin.27,Skin
Skin.28,Skin
Skin.29,Skin
Oral Cavity.2,Oral Cavity
Skin.30,Skin
Skin.31,Skin
Nostril.2,Nostril
Nostril.3,Nostril
Skin.32,Skin
Skin.33,Skin
Skin.34,Skin
Skin.35,Skin
Oral Cavity.3,Oral Cavity
External Auditory Canal.4,External Auditory Canal
Feces.4,Feces
Skin.36,Skin
Skin.37,Skin
Skin.38,Skin
Skin.39,Skin
Nostril.4,Nostril
Skin.40,Skin
Skin.41,Skin
Oral Cavity.4,Oral Cavity
External Auditory Canal.5,External Auditory Canal
Feces.5,Feces
Skin.42,Skin
Skin.43,Skin
Skin.44,Skin
Skin.45,Skin
Nostril.5,Nostril
Skin.46,Skin
Skin.47,Skin
Oral Cavity.5,Oral Cavity
Skin.48,Skin
Skin.49,Skin
External Auditory Canal.6,External Auditory Canal
External Auditory Canal.7,External Auditory Canal
Feces.6,Feces
Feces.7,Feces
Skin.50,Skin
Skin.51,Skin
Skin.52,Skin
Skin.53,Skin
Skin.54,Skin
Hair.2,Hair
Skin.55,Skin
Skin.56,Skin
Skin.57,Skin
Skin.58,Skin
Skin.59,Skin
Oral Cavity.6,Oral Cavity
Skin.60,Skin
Skin.61,Skin
Nostril.6,Nostril
Nostril.7,Nostril
Skin.62,Skin
Skin.63,Skin
Skin.64,Skin
Oral Cavity.7,Oral Cavity
Skin.65,Skin
Skin.66,Skin
External Auditory Canal.8,External Auditory Canal
External Auditory Canal.9,External Auditory Canal
Feces.8,Feces
Feces.9,Feces
Skin.67,Skin
Skin.68,Skin
Skin.69,Skin
Skin.70,Skin
Skin.71,Skin
Hair.3,Hair
Skin.72,Skin
Skin.73,Skin
Skin.74,Skin
Skin.75,Skin
Skin.76,Skin
Oral Cavity.8,Oral Cavity
Skin.77,Skin
Skin.78,Skin
Nostril.8,Nostril
Nostril.9,Nostril
Skin.79,Skin
Skin.80,Skin
Skin.81,Skin
Skin.82,Skin
Oral Cavity.9,Oral Cavity
External Auditory Canal.10,External Auditory Canal
Feces.10,Feces
Skin.83,Skin
Skin.84,Skin
Skin.85,Skin
Skin.86,Skin
Nostril.10,Nostril
Skin.87,Skin
Skin.88,Skin
Oral Cavity.10,Oral Cavity
External Auditory Canal.11,External Auditory Canal
Feces.11,Feces
Skin.89,Skin
Skin.90,Skin
Skin.91,Skin
Skin.92,Skin
Nostril.11,Nostril
Skin.93,Skin
Skin.94,Skin
Oral Cavity.11,Oral Cavity
Skin.95,Skin
Skin.96,Skin
External Auditory Canal.12,External Auditory Canal
Feces.12,Feces
Feces.13,Feces
Skin.97,Skin
Skin.98,Skin
Skin.99,Skin
Skin.100,Skin
Skin.101,Skin
Hair.4,Hair
Skin.102,Skin
Skin.103,Skin
Skin.104,Skin
Skin.105,Skin
Skin.106,Skin
Oral Cavity.12,Oral Cavity
Skin.107,Skin
Nostril.12,Nostril
Nostril.13,Nostril
Skin.108,Skin
Skin.109,Skin
Skin.110,Skin
Skin.111,Skin
Oral Cavity.13,Oral Cavity
Skin.112,Skin
Skin.113,Skin
External Auditory Canal.13,External Auditory Canal
External Auditory Canal.14,External Auditory Canal
Feces.14,Feces
Feces.15,Feces
Skin.114,Skin
Skin.115,Skin
Skin.116,Skin
Skin.117,Skin
Skin.118,Skin
Hair.5,Hair
Skin.119,Skin
Skin.120,Skin
Skin.121,Skin
Skin.122,Skin
Skin.123,Skin
Oral Cavity.14,Oral Cavity
Skin.124,Skin
Skin.125,Skin
Nostril.14,Nostril
Nostril.15,Nostril
Skin.126,Skin
Skin.127,Skin
Skin.128,Skin
Skin.129,Skin
Oral Cavity.15,Oral Cavity
External Auditory Canal.15,External Auditory Canal
Feces.16,Feces
Skin.130,Skin
Skin.131,Skin
Skin.132,Skin
Skin.133,Skin
Nostril.16,Nostril
Skin.134,Skin
Skin.135,Skin
Oral Cavity.16,Oral Cavity
External Auditory Canal.16,External Auditory Canal
Feces.17,Feces
Skin.136,Skin
Skin.137,Skin
Skin.138,Skin
Skin.139,Skin
Nostril.17,Nostril
Skin.140,Skin
Skin.141,Skin
Oral Cavity.17,Oral Cavity
Skin.142,Skin
Skin.143,Skin
External Auditory Canal.17,External Auditory Canal
Feces.18,Feces
Feces.19,Feces
Skin.144,Skin
Skin.145,Skin
Skin.146,Skin
Skin.147,Skin
Skin.148,Skin
Skin.149,Skin
Hair.6,Hair
Skin.150,Skin
Skin.151,Skin
Skin.152,Skin
Skin.153,Skin
Oral Cavity.18,Oral Cavity
Skin.154,Skin
Skin.155,Skin
Nostril.18,Nostril
Nostril.19,Nostril
Skin.156,Skin
Skin.157,Skin
Skin.158,Skin
Skin.159,Skin
Oral Cavity.19,Oral Cavity
Skin.160,Skin
Skin.161,Skin
External Auditory Canal.18,External Auditory Canal
External Auditory Canal.19,External Auditory Canal
Feces.20,Feces
Feces.21,Feces
Skin.162,Skin
Skin.163,Skin
Skin.164,Skin
Skin.165,Skin
Skin.166,Skin
Skin.167,Skin
Hair.7,Hair
Skin.168,Skin
Skin.169,Skin
Skin.170,Skin
Skin.171,Skin
Oral Cavity.20,Oral Cavity
Skin.172,Skin
Skin.173,Skin
Nostril.20,Nostril
Nostril.21,Nostril
Skin.174,Skin
Skin.175,Skin
Skin.176,Skin
Skin.177,Skin
Oral Cavity.21,Oral Cavity
External Auditory Canal.20,External Auditory Canal
Feces.22,Feces
Skin.178,Skin
Skin.179,Skin
Skin.180,Skin
Skin.181,Skin
Nostril.22,Nostril
Skin.182,Skin
Skin.183,Skin
Oral Cavity.22,Oral Cavity
External Auditory Canal.21,External Auditory Canal
Feces.23,Feces
Skin.184,Skin
Skin.185,Skin
Skin.186,Skin
Skin.187,Skin
Nostril.23,Nostril
Skin.188,Skin
Skin.189,Skin
Oral Cavity.23,Oral Cavity
Skin.190,Skin
Skin.191,Skin
