,OTU_1,OTU_2,OTU_3,OTU_4,OTU_9,OTU_18,OTU_19,OTU_20,OTU_21,OTU_28,OTU_29,OTU_30,OTU_31,OTU_32,OTU_34,OTU_38,OTU_39,OTU_49,OTU_50,OTU_51,OTU_54,OTU_58,OTU_59,OTU_65,OTU_66,OTU_68,OTU_72,OTU_73,OTU_74,OTU_75,OTU_77,OTU_79,OTU_80,OTU_81,OTU_84,OTU_91,OTU_95,OTU_96,OTU_102,OTU_103,OTU_104,OTU_107,OTU_108,OTU_109,OTU_110,OTU_111,OTU_113,OTU_115,OTU_116,OTU_117,OTU_118,OTU_119,OTU_126,OTU_127,OTU_129,OTU_130,OTU_131,OTU_132,OTU_133,OTU_142,OTU_145,OTU_146,OTU_147,OTU_148,OTU_149,OTU_151,OTU_152,OTU_154,OTU_158,OTU_159,OTU_163,OTU_164,OTU_168,OTU_169,OTU_171,OTU_173,OTU_174,OTU_177,OTU_182,OTU_183,OTU_184,OTU_185,OTU_186,OTU_187,OTU_188,OTU_196,OTU_197,OTU_198,OTU_207,OTU_208,OTU_209,OTU_216,OTU_217,OTU_220,OTU_221,OTU_222,OTU_227,OTU_229,OTU_230,OTU_232,OTU_233,OTU_234,OTU_235,OTU_236,OTU_237,OTU_238,OTU_239,OTU_240,OTU_246,OTU_248,OTU_249,OTU_252,OTU_255,OTU_256,OTU_257,OTU_258,OTU_259,OTU_263,OTU_265,OTU_266,OTU_268,OTU_269,OTU_273,OTU_277,OTU_279,OTU_280,OTU_281,OTU_283
B.2008.06.S1.405543,0.004917456972251493,0.0,0.0007024938531787848,0.014401123990165084,0.0,0.001053740779768177,0.008429926238145416,0.0,0.0,0.0,0.0035124692658939235,0.0,0.05725324903407096,0.0,0.0,0.0,0.0,0.0007024938531787848,0.0,0.0,0.0038637161924833154,0.01053740779768177,0.0,0.0014049877063575693,0.023533544081489288,0.0182648401826484,0.0,0.0,0.0,0.0007024938531787848,0.0,0.024938531787846857,0.002809975412715139,0.0017562346329469615,0.0,0.006322444678609061,0.008781173164734809,0.0,0.0007024938531787848,0.0,0.0,0.0,0.0003512469265893924,0.001053740779768177,0.0,0.0,0.0035124692658939235,0.05128205128205128,0.0,0.01053740779768177,0.0003512469265893924,0.0007024938531787848,0.0007024938531787848,0.0,0.0014049877063575693,0.0,0.0,0.03371970495258166,0.0,0.0,0.0,0.0,0.4689146469968388,0.004917456972251493,0.0642781875658588,0.0003512469265893924,0.005268703898840885,0.0,0.0007024938531787848,0.002107481559536354,0.005971197752019671,0.004214963119072708,0.002809975412715139,0.004917456972251493,0.0,0.0,0.0,0.0,0.0,0.04495960660344222,0.015454864769933262,0.002809975412715139,0.0003512469265893924,0.0024587284861257463,0.0,0.01685985247629083,0.0091324200913242,0.0,0.0003512469265893924,0.002809975412715139,0.0,0.0017562346329469615,0.0003512469265893924,0.002809975412715139,0.0,0.001053740779768177,0.0,0.0,0.001053740779768177,0.0,0.007024938531787847,0.0,0.002107481559536354,0.005971197752019671,0.0007024938531787848,0.0038637161924833154,0.0,0.0,0.0007024938531787848,0.0,0.0,0.0003512469265893924,0.002809975412715139,0.0,0.0,0.0,0.001053740779768177,0.0003512469265893924,0.0017562346329469615,0.0007024938531787848,0.0031612223393045306,0.0,0.0,0.0,0.0,0.0,0.0,0.0024587284861257463
B.2005.06.S1.405537,0.011656952539550377,0.0,0.0,0.0030530113794060504,0.0,0.0,0.001665278934221482,0.0,0.0,0.17318900915903415,0.0,0.018318068276436304,0.04357479877879545,0.0,0.0,0.0,0.0005550929780738273,0.0008326394671107411,0.0,0.0,0.0,0.0005550929780738273,0.001665278934221482,0.0,0.0,0.009436580627255066,0.004995836802664446,0.0011101859561476546,0.006383569247849014,0.0008326394671107411,0.0,0.0,0.005550929780738274,0.0,0.0,0.0,0.001665278934221482,0.0,0.0005550929780738273,0.0030530113794060504,0.0,0.0011101859561476546,0.0,0.0,0.0,0.0,0.0,0.002497918401332223,0.01693033583125174,0.019705800721620877,0.0,0.0,0.008603941160144324,0.0,0.0005550929780738273,0.0,0.0,0.004995836802664446,0.0,0.0,0.0,0.0,0.17679711351651398,0.026644462947543714,0.2639467110741049,0.0005550929780738273,0.001942825423258396,0.00027754648903691365,0.0,0.0,0.0013877324451845685,0.0008326394671107411,0.0,0.0,0.002775464890369137,0.0,0.0,0.0,0.00027754648903691365,0.05134610047182903,0.044129891756869266,0.0044407438245906185,0.0036081043574798773,0.0,0.0,0.012489592006661115,0.0030530113794060504,0.0,0.0,0.004718290313627533,0.0,0.004163197335553705,0.0022203719122953092,0.0,0.0,0.0,0.0,0.035248404107688036,0.00027754648903691365,0.00027754648903691365,0.0013877324451845685,0.0008326394671107411,0.0011101859561476546,0.0011101859561476546,0.0,0.001665278934221482,0.0,0.0,0.00027754648903691365,0.0,0.0,0.0,0.0008326394671107411,0.0,0.0,0.0,0.0,0.0,0.00027754648903691365,0.0,0.0,0.001942825423258396,0.0,0.0,0.0,0.00027754648903691365,0.0005550929780738273,0.0
B.2008.03.S1.405528,0.010391686650679455,0.0,0.00039968025579536365,0.005195843325339729,0.0,0.002398081534772182,0.0059952038369304565,0.0,0.007194244604316547,0.0,0.003197442046362909,0.0,0.05315747402078337,0.0,0.0,0.0,0.0,0.00039968025579536365,0.0,0.00039968025579536365,0.0015987210231814546,0.029976019184652283,0.0,0.0019984012789768186,0.01478816946442846,0.02278177458033573,0.0,0.0,0.0,0.0015987210231814546,0.0,0.028377298161470825,0.004396482813749001,0.0035971223021582736,0.0,0.011990407673860913,0.0059952038369304565,0.0,0.0,0.0,0.0,0.0,0.0,0.0015987210231814546,0.0,0.0,0.005595523581135092,0.0583533173461231,0.0,0.016786570743405275,0.00039968025579536365,0.001199040767386091,0.0,0.0,0.0,0.0,0.0,0.01838529176658673,0.0,0.0,0.0,0.0,0.4108713029576339,0.007593924860111911,0.09512390087929656,0.003197442046362909,0.004396482813749001,0.0,0.00039968025579536365,0.0015987210231814546,0.015587529976019185,0.005195843325339729,0.0019984012789768186,0.002398081534772182,0.0,0.0,0.0,0.0,0.0,0.05755395683453238,0.013589128697042364,0.0035971223021582736,0.0,0.0007993605115907273,0.0,0.009992006394884092,0.005595523581135092,0.0,0.0,0.0015987210231814546,0.0,0.0019984012789768186,0.0,0.0015987210231814546,0.0,0.002398081534772182,0.0,0.0,0.0007993605115907273,0.0,0.0035971223021582736,0.0,0.004796163069544364,0.0059952038369304565,0.0,0.005195843325339729,0.0,0.0,0.001199040767386091,0.0,0.0,0.0,0.0015987210231814546,0.0,0.0,0.0,0.001199040767386091,0.00039968025579536365,0.00039968025579536365,0.0,0.0019984012789768186,0.0,0.00039968025579536365,0.0,0.0,0.0,0.0,0.0
B.2009.08.S1.405578,0.001056338028169014,0.0,0.0,0.00035211267605633805,0.0,0.0,0.0,0.004929577464788733,0.0,0.0,0.0,0.0,0.032746478873239435,0.0,0.0,0.0,0.0014084507042253524,0.0007042253521126762,0.0,0.0,0.0017605633802816902,0.00035211267605633805,0.0014084507042253524,0.02640845070422535,0.0,0.016549295774647886,0.0,0.004929577464788733,0.0,0.0,0.0,0.0,0.0014084507042253524,0.00035211267605633805,0.0014084507042253524,0.0,0.0035211267605633804,0.0,0.00035211267605633805,0.00035211267605633805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02852112676056338,0.06725352112676056,0.0017605633802816902,0.0,0.014436619718309859,0.0,0.0,0.00035211267605633805,0.0,0.02640845070422535,0.0,0.0,0.0,0.0,0.0,0.2130281690140845,0.06373239436619718,0.2947183098591549,0.0007042253521126762,0.0,0.0,0.0007042253521126762,0.0,0.04507042253521127,0.032746478873239435,0.0007042253521126762,0.0,0.0,0.008802816901408451,0.0,0.0,0.002112676056338028,0.0,0.0,0.004929577464788733,0.01725352112676056,0.0007042253521126762,0.0,0.001056338028169014,0.01056338028169014,0.0,0.0,0.0017605633802816902,0.0,0.0014084507042253524,0.0,0.0,0.0,0.0035211267605633804,0.0,0.02535211267605634,0.0,0.0017605633802816902,0.005985915492957746,0.0007042253521126762,0.0007042253521126762,0.0,0.0,0.002112676056338028,0.0,0.001056338028169014,0.0,0.0,0.00035211267605633805,0.0017605633802816902,0.0024647887323943664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035211267605633805,0.0,0.0,0.013028169014084507,0.00035211267605633805,0.0
B.2011.09.S1.405577,0.0021237864077669898,0.0445995145631068,0.0003033980582524272,0.0048543689320388345,0.0003033980582524272,0.0,0.0,0.042475728155339815,0.0,0.043689320388349516,0.0,0.0024271844660194173,0.028519417475728163,0.0,0.0009101941747572817,0.0,0.0,0.0003033980582524272,0.0,0.0,0.0,0.005157766990291262,0.0,0.005764563106796117,0.0009101941747572817,0.0021237864077669898,0.016990291262135918,0.0045509708737864075,0.0,0.0027305825242718447,0.0,0.01972087378640777,0.0,0.0003033980582524272,0.0006067961165048543,0.0021237864077669898,0.0021237864077669898,0.00758495145631068,0.0,0.0,0.0,0.003944174757281553,0.0,0.0009101941747572817,0.0,0.0,0.0,0.0072815533980582535,0.0,0.053701456310679616,0.0003033980582524272,0.0,0.02366504854368932,0.0,0.0,0.0,0.0009101941747572817,0.0,0.001516990291262136,0.0,0.0,0.0,0.2396844660194175,0.040958737864077666,0.033980582524271837,0.0003033980582524272,0.0018203883495145634,0.005157766990291262,0.0003033980582524272,0.0,0.0012135922330097086,0.0,0.0,0.0,0.0003033980582524272,0.0,0.0003033980582524272,0.0009101941747572817,0.0,0.0024271844660194173,0.02427184466019417,0.0009101941747572817,0.0012135922330097086,0.0,0.0,0.0009101941747572817,0.0063713592233009715,0.0,0.0,0.0006067961165048543,0.005764563106796117,0.003337378640776699,0.0036407766990291268,0.0006067961165048543,0.0,0.0,0.0,0.003337378640776699,0.003944174757281553,0.0006067961165048543,0.0012135922330097086,0.0,0.005764563106796117,0.001516990291262136,0.0,0.0003033980582524272,0.0,0.0,0.0,0.0,0.0,0.0012135922330097086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042475728155339796,0.0003033980582524272,0.0,0.0,0.05066747572815534,0.0006067961165048543,0.0
B.2006.03.S1.405589,0.012740444666500124,0.0,0.015238571071696228,0.0004996252810392206,0.0012490632025980515,0.0,0.0,0.0022483137646764927,0.03672245815638271,0.07269547839120659,0.0,0.010991756182862852,0.02398201348988259,0.0002498126405196103,0.0097426929802648,0.0002498126405196103,0.0002498126405196103,0.0007494379215588308,0.0,0.0,0.0004996252810392206,0.002498126405196103,0.0014988758431176616,0.0,0.0,0.012240819385460905,0.0,0.008243817137147141,0.05945540844366725,0.0007494379215588308,0.0,0.0,0.0,0.0002498126405196103,0.0,0.0019985011241568824,0.0012490632025980515,0.0007494379215588308,0.0,0.0014988758431176616,0.0,0.03747189607794155,0.0,0.0034973769672745447,0.0,0.0002498126405196103,0.0,0.014489133150137397,0.04971271546340245,0.02398201348988259,0.0007494379215588308,0.008993255058705971,0.0017486884836372721,0.0002498126405196103,0.0004996252810392206,0.0004996252810392206,0.0,0.0,0.0022483137646764927,0.0,0.0,0.0,0.376967274544092,0.002498126405196103,0.0,0.00849362977766675,0.0097426929802648,0.0,0.0,0.0,0.0,0.0,0.0002498126405196103,0.0,0.0,0.0,0.0,0.0012490632025980515,0.0,0.0,0.0,0.0014988758431176616,0.0019985011241568824,0.0002498126405196103,0.0,0.005745690731951037,0.022732950287284538,0.0,0.0,0.0002498126405196103,0.0019985011241568824,0.0029977516862353237,0.0007494379215588308,0.054209342992755434,0.0,0.0034973769672745447,0.0044966275293529855,0.0022483137646764927,0.0007494379215588308,0.0,0.006744941294029478,0.012490632025980514,0.0012490632025980515,0.004746440169872595,0.0,0.0007494379215588308,0.0009992505620784412,0.0014988758431176616,0.0002498126405196103,0.0007494379215588308,0.0097426929802648,0.0009992505620784412,0.0002498126405196103,0.0037471896077941546,0.002747939045715713,0.0,0.0,0.0,0.0009992505620784412,0.0004996252810392206,0.0009992505620784412,0.0002498126405196103,0.0007494379215588308,0.016487634274294283,0.0009992505620784412,0.0,0.0,0.0
B.2005.04.S1.405545,0.0048884815154292705,0.0,0.0,0.002749770852428964,0.0,0.0018331805682859762,0.0036663611365719533,0.0006110601894286588,0.0,0.03971891231286282,0.0,0.003360831041857623,0.05377329666972197,0.0,0.0003055300947143293,0.0,0.0,0.0006110601894286588,0.0,0.0003055300947143293,0.0009165902841429881,0.0015276504735716467,0.003055300947143293,0.0,0.0,0.03941338221814849,0.0036663611365719533,0.0006110601894286588,0.008860372746715552,0.0024442407577146353,0.0,0.0,0.008249312557286892,0.0003055300947143293,0.0,0.0,0.003971891231286282,0.0006110601894286588,0.0,0.0024442407577146353,0.0,0.0036663611365719533,0.0,0.0,0.0,0.0,0.0,0.003360831041857623,0.01466544454628781,0.009165902841429879,0.0,0.0,0.0015276504735716467,0.0003055300947143293,0.0006110601894286588,0.0,0.0,0.01466544454628781,0.0,0.0,0.0,0.0,0.3919951115184846,0.018026275588145436,0.1145737855178735,0.0024442407577146353,0.003971891231286282,0.0,0.0,0.0,0.006416131989000917,0.005499541704857928,0.0003055300947143293,0.0,0.0,0.0,0.0,0.0,0.0045829514207149395,0.02322028719828903,0.09440879926672777,0.015887564925145127,0.0024442407577146353,0.0,0.0,0.013443324167430493,0.002138710663000305,0.0,0.0012221203788573176,0.005499541704857928,0.0,0.003055300947143293,0.0015276504735716467,0.0,0.0,0.0006110601894286588,0.0,0.009471432936144213,0.0006110601894286588,0.0009165902841429881,0.012221203788573174,0.005499541704857928,0.002749770852428964,0.003055300947143293,0.0,0.006110601894286587,0.0,0.0,0.0003055300947143293,0.0,0.0,0.0,0.0009165902841429881,0.0,0.0,0.0,0.0,0.0006110601894286588,0.002749770852428964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B.2005.09.S1.405592,0.020948860135551448,0.0,0.0,0.00585335797905114,0.0,0.002464571780653112,0.004621072088724585,0.0,0.0,0.0237215033887862,0.0,0.004929143561306222,0.0767097966728281,0.0,0.0,0.0,0.0,0.0036968576709796672,0.0,0.0012322858903265556,0.0006161429451632778,0.006469500924214418,0.004004929143561306,0.0,0.0,0.01632778804682686,0.005237215033887862,0.002464571780653112,0.0061614294516327784,0.005237215033887862,0.0009242144177449168,0.0,0.0033887861983980284,0.0003080714725816389,0.0,0.0,0.0030807147258163892,0.0,0.0006161429451632778,0.0018484288354898336,0.0,0.006777572396796057,0.0,0.0006161429451632778,0.0,0.0,0.0,0.0027726432532347504,0.02341343191620456,0.002156500308071473,0.0,0.0,0.0027726432532347504,0.0,0.0003080714725816389,0.0,0.0,0.005237215033887862,0.0,0.0009242144177449168,0.0,0.0,0.3274799753542822,0.0403573629081947,0.1583487369069624,0.002156500308071473,0.008934072704867528,0.0,0.0,0.0,0.010782501540357365,0.0018484288354898336,0.002464571780653112,0.0,0.0,0.0,0.0,0.0,0.0027726432532347504,0.0061614294516327784,0.05699322242760321,0.008009858287122612,0.006777572396796057,0.0,0.0,0.009858287122612448,0.006777572396796057,0.0,0.0015403573629081946,0.005545286506469501,0.0003080714725816389,0.0033887861983980284,0.0061614294516327784,0.0,0.0,0.0003080714725816389,0.0,0.019100431300061612,0.0,0.002464571780653112,0.02187307455329637,0.00831792975970425,0.002156500308071473,0.0027726432532347504,0.0,0.009858287122612448,0.0018484288354898336,0.0,0.0,0.0,0.0,0.0,0.0012322858903265556,0.0,0.0,0.0,0.0,0.0,0.0006161429451632778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003080714725816389,0.0012322858903265556
B.2012.06.S1.405601,0.0014582573824279985,0.0,0.0,0.0014582573824279985,0.0,0.0010936930368209991,0.008020415603353991,0.0,0.0,0.1851986875683558,0.0,0.0010936930368209991,0.08093328472475393,0.0,0.0,0.0,0.0,0.0014582573824279985,0.005833029529711994,0.0007291286912139992,0.0010936930368209991,0.0040102078016769965,0.0007291286912139992,0.0,0.0,0.01786365293474298,0.03062340503098797,0.0007291286912139992,0.0,0.0,0.0007291286912139992,0.0,0.0,0.0,0.0,0.02515493984688297,0.0040102078016769965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003645643456069996,0.0,0.0,0.010572366022602987,0.0043747721472839965,0.0010936930368209991,0.0,0.0018228217280349985,0.0,0.0,0.0,0.0,0.13087860007291288,0.0,0.0,0.0043747721472839965,0.0,0.0,0.1855632519139628,0.06416332482683193,0.0018228217280349985,0.0,0.010572366022602987,0.0,0.0,0.0021873860736419982,0.03718556325191396,0.0,0.0,0.0,0.0,0.0,0.0010936930368209991,0.0,0.0032810791104629965,0.018957345971563986,0.09004739336492891,0.0003645643456069996,0.0,0.0007291286912139992,0.0014582573824279985,0.006197593875318994,0.0014582573824279985,0.0,0.0,0.0014582573824279985,0.0,0.0010936930368209991,0.0,0.0021873860736419982,0.0003645643456069996,0.0014582573824279985,0.0,0.0,0.0,0.0,0.0018228217280349985,0.0018228217280349985,0.0010936930368209991,0.0043747721472839965,0.0,0.0007291286912139992,0.0,0.0,0.0007291286912139992,0.0,0.0043747721472839965,0.0003645643456069996,0.0,0.0,0.0,0.0,0.0018228217280349985,0.0003645643456069996,0.0,0.0,0.0,0.0003645643456069996,0.0003645643456069996,0.0,0.0,0.0,0.0,0.0
B.2019.04.S1.405614,0.004487856388595565,0.0,0.0015839493136219642,0.002111932418162618,0.0013199577613516368,0.0,0.01029567053854277,0.0034318901795142554,0.0,0.0,0.018479408658922915,0.006335797254487857,0.052006335797254485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001055966209081309,0.0013199577613516368,0.0,0.0,0.01082365364308342,0.0,0.01293558606124604,0.0,0.0,0.0,0.0,0.0005279831045406547,0.0,0.007127771911298837,0.013727560718057022,0.0029039070749736014,0.0,0.0,0.0015839493136219642,0.0,0.0,0.0,0.0018479408658922914,0.0,0.0,0.013199577613516368,0.008447729672650475,0.01689545934530095,0.04646251319957762,0.0,0.0,0.06599788806758182,0.00026399155227032733,0.0,0.0,0.0,0.03643083421330517,0.0,0.0,0.0,0.0,0.3864836325237592,0.050422386483632516,0.0,0.03326293558606125,0.014519535374868003,0.0,0.002639915522703273,0.0,0.06546990496304117,0.0,0.00026399155227032733,0.0,0.0,0.0,0.0,0.0005279831045406547,0.0,0.0,0.049366420274551216,0.006863780359028511,0.0018479408658922914,0.00026399155227032733,0.0,0.005807814149947203,0.00897571277719113,0.0013199577613516368,0.0,0.001055966209081309,0.005807814149947203,0.005279831045406547,0.0,0.0,0.0,0.0007919746568109821,0.0,0.0,0.0015839493136219642,0.0005279831045406547,0.0029039070749736014,0.002375923970432946,0.003695881731784583,0.00026399155227032733,0.0,0.0018479408658922914,0.0,0.0,0.0,0.0,0.0,0.0015839493136219642,0.00026399155227032733,0.0,0.0,0.00026399155227032733,0.0,0.00026399155227032733,0.0005279831045406547,0.0007919746568109821,0.0,0.0,0.0,0.0,0.0,0.0,0.00026399155227032733,0.0
